order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,food_preparation_time,delivery_time,is_takeaway,distance,GST,rating
1477147,337525,Hangawi,Korean,922.5,Weekend,25,20,TRUE,8.85,46.125,Not given
1477685,358141,Blue Ribbon Sushi Izakaya,Japanese,362.4,Weekend,25,23,FALSE,0,18.12,Not given
1477070,66393,Cafe Habana,Mexican,366.9,Weekday,23,28,FALSE,0,18.345,3
1477334,106968,Blue Ribbon Fried Chicken,American,876,Weekend,25,15,FALSE,0,43.8,3
1478249,76942,Dirty Bird to Go,American,347.7,Weekday,25,24,FALSE,0,17.385,2
1477224,147468,Tamarind TriBeCa,Indian,756.6,Weekday,20,24,FALSE,0,37.83,3
1477894,157711,The Meatball Shop,Italian,182.1,Weekend,28,21,FALSE,0,9.105,Not given
1477859,89574,Barbounia,Mediterranean,,Weekday,33,30,FALSE,0,8.955,1
1477174,121706,Anjappar Chettinad,Indian,,Weekday,21,26,FALSE,0,24.66,3
1477311,39705,Bukhara Grill,Indian,215.4,Weekday,29,26,FALSE,0,10.77,3
1477895,143926,Big Wong Restaurant _¤¾Ñ¼,Chinese,177.6,Weekday,34,28,FALSE,0,8.88,Not given
1478437,221206,Empanada Mama (closed),Mexican,243,Weekend,23,22,FALSE,0,12.15,3
1476966,129969,Blue Ribbon Fried Chicken,American,729,Weekend,23,17,FALSE,0,36.45,3
1477449,104548,Pylos,Mediterranean,339,Weekend,24,23,FALSE,0,16.95,1
1478198,62667,Lucky's Famous Burgers,American,363.9,Weekday,23,30,TRUE,12.16,18.195,Not given
1477414,66222,Shake Shack,American,486,Weekend,33,25,FALSE,0,24.3,3
1477486,104555,Sushi of Gari,Japanese,509.4,Weekend,30,16,TRUE,17.18,25.47,Not given
1477373,139885,Blue Ribbon Sushi Izakaya,Japanese,990.9,Weekend,21,22,TRUE,4.69,49.545,Not given
1477138,47280,RedFarm Hudson,Chinese,423.6,Weekend,25,24,TRUE,0.93,21.18,2
1477354,67487,Blue Ribbon Sushi,Japanese,486,Weekend,35,26,TRUE,4.36,24.3,2
1478296,250494,Five Guys Burgers and Fries,American,726,Weekend,21,24,TRUE,0.62,36.3,2
1478226,137565,Shake Shack,American,477.3,Weekend,25,20,TRUE,8.59,23.865,Not given
1478287,150599,Shake Shack,American,873,Weekday,21,30,FALSE,0,43.65,3
1478014,54630,Tortaria,Mexican,267.6,Weekend,33,16,TRUE,17.42,13.38,Not given
1476714,363783,Cafe Mogador,Middle Eastern,475.8,Weekday,32,29,TRUE,10.54,23.79,Not given
1476693,41877,Cafe Mogador,Middle Eastern,873,Weekday,20,29,TRUE,9.86,43.65,3
